Total rows: 1676,,,
800 600,,,
1676,,,
mbr array constructed,,,
r,c,f,count
146,323,5,4
146,323,10,1
146,323,11,1
146,350,5,1
147,391,2,1
147,391,5,1
147,391,11,1
147,422,1,1
147,431,2,1
147,431,3,1
147,431,5,3
147,431,10,1
147,431,12,1
147,441,0,1
149,569,10,1
152,412,5,1
156,335,5,1
156,346,1,1
156,361,5,2
157,412,8,1
157,423,3,1
159,354,10,1
160,470,2,1
162,334,10,1
162,399,10,1
163,345,6,1
163,345,12,1
163,363,5,1
163,363,10,1
163,441,0,1
163,441,4,1
166,352,10,1
167,391,1,1
167,391,4,1
167,412,4,1
167,431,2,1
167,431,3,2
169,344,2,1
169,344,8,1
173,441,10,2
173,589,1,1
173,589,10,1
177,384,5,1
177,399,10,1
177,405,4,1
177,405,5,2
177,427,3,2
177,427,10,1
177,445,3,1
177,521,1,2
177,521,2,3
177,521,3,1
177,521,4,4
177,521,5,1
177,521,8,1
177,521,10,6
177,521,11,5
181,399,4,1
181,411,2,1
181,411,5,1
181,411,10,1
181,440,3,1
181,440,4,2
181,440,11,1
182,368,1,1
182,390,5,1
185,377,10,1
185,559,10,1
188,343,8,1
190,334,1,1
190,334,2,1
190,334,3,1
190,334,4,1
190,334,10,2
191,440,4,1
194,397,5,1
195,357,2,2
195,357,5,1
195,357,10,1
197,379,5,1
197,404,1,1
197,404,5,1
202,345,10,1
205,402,0,1
205,402,2,1
205,402,3,1
205,402,4,2
205,411,10,1
208,357,3,1
208,357,5,1
208,357,10,2
210,377,2,1
210,377,3,1
210,377,10,2
210,377,11,1
213,415,10,1
217,416,4,1
217,416,12,1
220,367,10,1
222,402,2,1
222,402,4,1
222,402,10,1
222,411,2,1
222,411,5,2
232,398,2,2
232,398,5,4
232,398,10,2
235,411,10,1
240,410,10,1
255,410,4,1
255,410,5,2
255,410,10,1
263,417,4,1
317,597,10,1
784,514,11,1
